Gene	sgRNA	D7_R1|beta	D7_R1|z	D7_R1|p-value	D7_R1|fdr	D7_R1|wald-p-value	D7_R1|wald-fdr	D7_R2|beta	D7_R2|z	D7_R2|p-value	D7_R2|fdr	D7_R2|wald-p-value	D7_R2|wald-fdr	PLX7_R1|beta	PLX7_R1|z	PLX7_R1|p-value	PLX7_R1|fdr	PLX7_R1|wald-p-value	PLX7_R1|wald-fdr	PLX7_R2|beta	PLX7_R2|z	PLX7_R2|p-value	PLX7_R2|fdr	PLX7_R2|wald-p-value	PLX7_R2|wald-fdr
RPL36AL	2	-0.40071	-2.9327	0.27525	0.879	0.0033599	0.011904	-0.15249	-1.1424	0.85961	0.98892	0.25328	0.39241	-0.34409	-2.5986	0.32488	0.89701	0.009361	0.027265	-0.13665	-0.99199	0.85799	0.99334	0.3212	0.46777
OR8J1	2	0.091279	0.65508	0.36084	0.91043	0.51242	0.64369	-0.032782	-0.23349	0.71491	0.97064	0.81538	0.88543	0.10798	0.79291	0.37373	0.91088	0.42783	0.55936	0.093842	0.65368	0.38828	0.91558	0.51332	0.65281
FBN1	2	-0.22388	-1.8104	0.64009	0.96341	0.07023	0.14401	-0.20259	-1.6436	0.69874	0.97052	0.10026	0.19488	-0.32011	-2.6259	0.36737	0.90718	0.0086425	0.025533	-0.0040511	-0.032457	0.68678	0.97522	0.97411	0.98423
IGFBP5	6	0.055459	0.76027	0.45634	0.9387	0.44709	0.58613	-0.040866	-0.55773	0.74331	0.97495	0.57703	0.70456	0.1271	1.7793	0.3297	0.89802	0.075193	0.14824	-0.014476	-0.19233	0.72153	0.979	0.84748	0.90383
C5orf44	2	-0.34426	-3.1072	0.36572	0.91375	0.0018886	0.0073139	-0.28314	-2.5649	0.48042	0.93663	0.010322	0.031449	-0.35412	-3.2341	0.30804	0.89474	0.0012204	0.0049232	-0.3211	-2.8517	0.36561	0.90735	0.0043487	0.015638
NOXA1	3	0.0736	0.79737	0.40568	0.93252	0.42523	0.56573	0.11795	1.2812	0.26832	0.87663	0.20013	0.3289	-0.037293	-0.40702	0.81835	0.98694	0.68399	0.77944	0.010363	0.11017	0.63564	0.96695	0.91227	0.9454
ATP13A1	3	-0.44012	-4.112	0.22296	0.85181	3.92E-05	0.00024762	-0.58965	-5.4464	0.087628	0.71265	5.14E-08	6.20E-07	-0.61029	-5.7779	0.070257	0.71161	7.56E-09	1.08E-07	-0.41171	-3.7245	0.22369	0.84447	0.00019574	0.0011392
SAC3D1	4	0.051446	0.57575	0.46724	0.9387	0.56478	0.69019	0.026043	0.29149	0.51223	0.94183	0.77068	0.85372	0.014458	0.16441	0.64194	0.97214	0.86941	0.9139	-0.0083212	-0.090397	0.70069	0.9762	0.92797	0.95494
MYL9	6	0.02085	0.29535	0.55696	0.95125	0.76773	0.84591	-0.054549	-0.77058	0.79263	0.98194	0.44096	0.58377	-0.029234	-0.41991	0.79089	0.98297	0.67455	0.77206	-0.013209	-0.18247	0.71741	0.97875	0.85521	0.9093
HSPA14	4	-0.37464	-4.073	0.31421	0.89494	4.64E-05	0.00028692	-0.42714	-4.634	0.22389	0.85954	3.59E-06	3.02E-05	-0.14622	-1.6505	0.81524	0.98694	0.098837	0.1846	-0.034858	-0.37867	0.79174	0.98557	0.70493	0.80445
ITK	3	-0.32208	-2.539	0.40795	0.93345	0.011115	0.032394	-0.31061	-2.4592	0.41807	0.92001	0.013926	0.040274	-0.68011	-5.3427	0.046294	0.64512	9.16E-08	1.05E-06	-0.46246	-3.4129	0.16637	0.80904	0.00064273	0.0031308
DIS3	3	-0.71023	-6.7138	0.049417	0.60435	1.90E-11	3.52E-10	-0.77067	-7.2627	0.03022	0.52119	3.80E-13	9.72E-12	-0.70459	-6.8454	0.03944	0.61285	7.63E-12	1.74E-10	-0.6882	-6.2893	0.041334	0.60017	3.19E-10	7.18E-09
RAB19	3	-0.15017	-1.4868	0.86186	0.99311	0.13707	0.24325	-0.026153	-0.26137	0.69153	0.96866	0.79381	0.86976	-0.13473	-1.3603	0.85237	0.98899	0.17374	0.28504	-0.1347	-1.3003	0.86423	0.99452	0.19351	0.32059
PFDN2	6	-1.1301	-11.832	0.0049257	0.28675	2.68E-32	4.13E-30	-0.91828	-9.9915	0.012768	0.37542	1.66E-23	1.27E-21	-0.7572	-8.7524	0.028429	0.54223	2.09E-18	1.13E-16	-0.95408	-9.6821	0.0079913	0.39272	3.59E-22	4.57E-20
ABAT	3	0.12042	1.1792	0.29298	0.88471	0.23834	0.36998	0.039353	0.38414	0.47231	0.93574	0.70087	0.80346	-0.15096	-1.4828	0.80073	0.98456	0.13812	0.23863	-0.14966	-1.4003	0.81661	0.98899	0.16141	0.28072
ZNF202	3	-0.0050456	-0.042775	0.64566	0.96519	0.96588	0.98063	-0.17064	-1.4296	0.7997	0.98379	0.15284	0.26838	-0.16863	-1.4481	0.74561	0.9791	0.14759	0.25139	-0.30294	-2.4069	0.40147	0.92004	0.016089	0.046346
KLHL2	4	-0.39267	-4.4995	0.28735	0.88442	6.81E-06	5.12E-05	-0.1934	-2.2506	0.72692	0.97247	0.024412	0.063762	-0.15385	-1.8234	0.79116	0.98297	0.068246	0.13711	-0.25368	-2.8574	0.51406	0.94487	0.0042709	0.0154
LRRC38	6	-0.17394	-2.2764	0.78633	0.98412	0.022824	0.059084	-0.10036	-1.3238	0.95622	0.99678	0.18558	0.31047	-0.1758	-2.3546	0.72462	0.97775	0.018542	0.047617	-0.18584	-2.3517	0.70336	0.97657	0.018688	0.052169
LACRT	2	-0.16463	-1.3292	0.8155	0.98719	0.1838	0.3043	-0.29085	-2.3323	0.46294	0.93279	0.019687	0.053507	-0.51021	-4.1143	0.12864	0.7866	3.88E-05	0.00024282	-0.36572	-2.8195	0.28786	0.87157	0.0048104	0.017002
FAM118B	3	-0.27622	-2.3491	0.50693	0.94316	0.018819	0.050309	-0.21343	-1.8303	0.66503	0.96634	0.067202	0.143	-0.25415	-2.226	0.50967	0.94166	0.026012	0.063018	-0.072203	-0.60515	0.92337	0.99689	0.54508	0.67941
TMEM14B	2	0.01544	0.10149	0.57425	0.9541	0.91916	0.95037	0.04023	0.26572	0.46956	0.93574	0.79045	0.86755	0.06255	0.42399	0.49488	0.94018	0.67158	0.76972	0.16709	1.0763	0.22837	0.84643	0.2818	0.42433
GALNS	4	0.025056	0.26542	0.54461	0.94731	0.79068	0.8628	0.10439	1.1141	0.29803	0.88513	0.26523	0.406	0.039372	0.42624	0.56307	0.95893	0.66993	0.76899	0.10812	1.1208	0.35311	0.90051	0.26239	0.40273
GABRB3	6	-0.082796	-1.2772	0.91261	0.99475	0.20154	0.32642	-0.038961	-0.60265	0.73663	0.97408	0.54674	0.67992	-0.022695	-0.35469	0.76821	0.98142	0.72282	0.80908	-0.047451	-0.72144	0.83647	0.98975	0.47064	0.61519
HPD	7	-0.15058	-2.1478	0.86066	0.99308	0.031726	0.076553	-0.062565	-0.89986	0.82168	0.98426	0.36819	0.51391	-0.1113	-1.6262	0.92986	0.99492	0.10391	0.19172	-0.13735	-1.9042	0.85565	0.99307	0.056889	0.12615
SMAP2	8	-0.053352	-0.88096	0.81121	0.98665	0.37834	0.52048	-0.13853	-2.2801	0.90754	0.99192	0.022601	0.059813	-0.1103	-1.8455	0.93333	0.99536	0.064966	0.13169	-0.11303	-1.8187	0.93768	0.99769	0.068957	0.14677
DMAP1	5	-0.74555	-7.4379	0.040358	0.56694	1.02E-13	2.50E-12	-0.7873	-7.837	0.027292	0.50971	4.61E-15	1.49E-13	-0.55907	-5.9557	0.096481	0.74264	2.59E-09	4.01E-08	-0.6633	-6.3303	0.048522	0.64614	2.45E-10	5.62E-09
ADAM17	5	-0.20871	-2.488	0.68317	0.96974	0.012848	0.036569	-0.32591	-3.8592	0.38696	0.91412	0.00011377	0.00065883	-0.41866	-5.0315	0.21808	0.86561	4.87E-07	4.84E-06	-0.43457	-4.9221	0.19622	0.83396	8.56E-07	9.65E-06
EGLN2	3	-0.14421	-1.4136	0.88076	0.99461	0.15747	0.27084	-0.093555	-0.92178	0.93194	0.99413	0.35664	0.5029	-0.10679	-1.0693	0.94414	0.99599	0.28495	0.4155	-0.12434	-1.1879	0.89952	0.99602	0.23486	0.37144
KCNA7	4	-0.18145	-2.0195	0.76374	0.98238	0.043431	0.098532	-0.27066	-2.9985	0.51083	0.94175	0.0027133	0.010286	-0.1094	-1.2482	0.93598	0.99543	0.21195	0.33213	-0.25512	-2.7363	0.51012	0.94418	0.006213	0.021055
HNRPLL	5	-0.37451	-4.6089	0.31437	0.89494	4.05E-06	3.17E-05	-0.316	-3.9161	0.40679	0.91597	9.00E-05	0.00053657	-0.29482	-3.7356	0.41827	0.92346	0.00018728	0.00096204	-0.26656	-3.2077	0.48215	0.94208	0.0013381	0.0058155
CREB3L2	3	-0.019601	-0.19403	0.69414	0.97188	0.84615	0.9012	0.20294	2.0364	0.12907	0.7802	0.041705	0.097735	0.091545	0.92649	0.41486	0.92346	0.35419	0.48904	0.02412	0.23377	0.59172	0.95951	0.81516	0.88198
ELL3	2	-0.23034	-1.925	0.62235	0.96217	0.054225	0.11738	-0.30358	-2.5299	0.4333	0.92629	0.011408	0.03415	-0.20124	-1.7134	0.64966	0.97214	0.086636	0.16582	-0.28201	-2.2891	0.44644	0.93456	0.022072	0.059465
PIPOX	4	-0.039075	-0.40977	0.76172	0.98234	0.68197	0.78334	0.12012	1.2758	0.26377	0.87663	0.20203	0.3312	0.071459	0.77014	0.46953	0.93451	0.44121	0.57192	-0.1336	-1.3487	0.86777	0.99452	0.17743	0.30081
OTUB1	3	0.098184	0.96873	0.34418	0.90547	0.33268	0.47399	0.1642	1.6284	0.18357	0.84511	0.10344	0.1994	0.30083	3.0414	0.083495	0.73508	0.0023544	0.0086069	0.27512	2.6857	0.090751	0.72118	0.0072369	0.023934
BUD13	2	0.00088681	0.0079093	0.62602	0.96217	0.99369	0.99753	-0.096516	-0.85845	0.94217	0.99467	0.39064	0.53668	0.042852	0.38671	0.55251	0.95547	0.69897	0.79046	0.064162	0.56525	0.46971	0.93832	0.5719	0.70274
RPRML	2	-0.16369	-1.1198	0.81861	0.98818	0.26281	0.39826	0.040044	0.27959	0.47012	0.93574	0.7798	0.85986	-0.0874	-0.61827	0.99053	0.99918	0.5364	0.6593	-0.25161	-1.6382	0.51938	0.94656	0.10138	0.19706
ARHGEF3	8	-0.05691	-0.92101	0.82324	0.98897	0.35704	0.49911	-0.16523	-2.6603	0.81682	0.98426	0.0078081	0.02502	-0.11592	-1.904	0.91489	0.99336	0.056908	0.11846	-0.035723	-0.56491	0.79482	0.98612	0.57214	0.70293
NTF3	4	0.042417	0.49853	0.49373	0.94316	0.61811	0.73224	0.12824	1.5158	0.2472	0.87219	0.12958	0.23684	0.26268	3.1592	0.11608	0.77083	0.001582	0.0061306	0.22509	2.6207	0.1414	0.79229	0.0087758	0.02808
CTDSPL2	4	-0.45841	-4.751	0.2027	0.83985	2.02E-06	1.69E-05	-0.5242	-5.4125	0.12846	0.77972	6.22E-08	7.36E-07	-0.41028	-4.3881	0.22788	0.86914	1.14E-05	8.29E-05	-0.51682	-5.12	0.12004	0.77098	3.06E-07	3.78E-06
S1PR3	2	-0.41781	-3.0927	0.25101	0.86873	0.0019832	0.0076259	-0.21778	-1.6449	0.65257	0.96432	0.099998	0.19456	-0.20313	-1.5692	0.64387	0.97214	0.11661	0.20936	-0.5993	-4.1663	0.072656	0.69714	3.10E-05	0.0002328
U2AF1L4	3	0.25712	2.7565	0.09105	0.70622	0.0058416	0.018995	0.22358	2.3965	0.10602	0.74372	0.016554	0.046498	0.21033	2.2748	0.17862	0.83304	0.022918	0.056883	0.13851	1.4547	0.28378	0.87042	0.14575	0.25989
NDC80	4	-1.3289	-10.822	0.0015385	0.19143	2.72E-27	2.58E-25	-1.1221	-9.5689	0.0038808	0.24926	1.08E-21	6.82E-20	-1.2523	-11	0.0012974	0.226	3.82E-28	5.99E-26	-1.208	-9.346	0.0016534	0.23504	9.10E-21	9.85E-19
SLC27A2	4	-0.36832	-4.3535	0.32351	0.89839	1.34E-05	9.39E-05	-0.24224	-2.8903	0.58473	0.95479	0.0038486	0.01386	-0.19445	-2.3604	0.66871	0.97442	0.018254	0.046994	-0.32393	-3.743	0.36004	0.90409	0.00018181	0.0010695
PLSCR4	5	-0.013775	-0.18129	0.67408	0.96974	0.85614	0.90797	0.059487	0.78695	0.41288	0.919	0.43131	0.57509	-0.018776	-0.25089	0.75447	0.98047	0.8019	0.86771	0.039503	0.51055	0.54338	0.95182	0.60967	0.73341
CPEB4	3	0.063502	0.6816	0.43355	0.93698	0.49549	0.62945	0.12088	1.3016	0.26201	0.87663	0.19305	0.32008	0.047724	0.51781	0.5378	0.94766	0.60459	0.71671	0.1139	1.2063	0.339	0.89669	0.22769	0.36314
SEC14L3	6	-0.092839	-1.2903	0.94693	0.99686	0.19695	0.32053	-0.16439	-2.2784	0.81978	0.98426	0.022701	0.060011	-0.18245	-2.5699	0.70424	0.9773	0.010174	0.029205	-0.20176	-2.7132	0.65639	0.97077	0.0066645	0.022308
PLDN	3	-0.24174	-2.3571	0.59192	0.95814	0.018419	0.049401	-0.16701	-1.6398	0.81152	0.98402	0.10105	0.196	-0.09248	-0.92753	0.9925	0.99918	0.35365	0.48856	-0.16903	-1.613	0.75549	0.98399	0.10674	0.20485
GLMN	2	-0.25227	-1.6873	0.56418	0.95325	0.091549	0.17798	-0.41838	-2.7569	0.23534	0.86648	0.0058354	0.019578	0.069463	0.49001	0.47518	0.93703	0.62412	0.73274	0.066843	0.44569	0.46222	0.93552	0.65582	0.76909
CLDN17	2	0.019179	0.14458	0.56219	0.95293	0.88504	0.92725	-0.17098	-1.2729	0.79848	0.98364	0.20306	0.33247	-0.30783	-2.3206	0.3913	0.91653	0.020307	0.051338	-0.08257	-0.59848	0.9598	0.99877	0.54952	0.68324
METTL17	4	-0.44098	-5.3507	0.22202	0.85181	8.76E-08	9.47E-07	-0.35254	-4.3065	0.33699	0.89523	1.66E-05	0.00011779	-0.18363	-2.2912	0.70089	0.97704	0.021952	0.054846	-0.10202	-1.2371	0.97457	0.99913	0.21604	0.3488
PPP6R2	3	-0.46998	-4.7683	0.19046	0.83059	1.86E-06	1.56E-05	-0.30075	-3.0901	0.43937	0.92629	0.0020007	0.0079403	-0.52201	-5.388	0.11979	0.7729	7.13E-08	8.36E-07	-0.36219	-3.6076	0.29332	0.87355	0.00030903	0.0016859
VILL	3	0.053989	0.47981	0.46049	0.9387	0.63136	0.74274	0.16435	1.4754	0.18333	0.84511	0.14011	0.25149	0.0016481	0.014929	0.68657	0.97503	0.98809	0.9923	-0.067811	-0.57645	0.90836	0.99671	0.56431	0.69621
TMC7	6	-0.21892	-2.7715	0.65362	0.9678	0.0055807	0.018273	-0.12055	-1.5414	0.97076	0.99747	0.12322	0.22818	-0.082416	-1.0782	0.97342	0.99839	0.28096	0.41179	-0.15199	-1.8747	0.80907	0.98847	0.060838	0.13308
KLHL21	4	-0.098201	-1.0226	0.96635	0.99833	0.3065	0.44626	-0.052494	-0.54981	0.7852	0.98155	0.58245	0.70892	0.0093883	0.10074	0.65841	0.97268	0.91976	0.94767	0.024103	0.24596	0.59177	0.95951	0.80571	0.87599
TNFRSF21	3	0.059376	0.579	0.44503	0.9387	0.56259	0.68838	-0.068676	-0.66584	0.84395	0.98865	0.50552	0.64352	0.16018	1.5944	0.26131	0.88983	0.11085	0.20149	0.03587	0.34166	0.55421	0.95182	0.73261	0.82448
SYNJ2BP	3	0.26943	2.3056	0.080877	0.68991	0.021131	0.055442	0.40313	3.4878	0.018796	0.44741	0.0004871	0.0023477	0.14464	1.2546	0.29236	0.88983	0.20961	0.32944	0.23611	1.9555	0.12838	0.78134	0.050521	0.11485
OR10A7	2	-0.1662	-1.1882	0.81084	0.98665	0.23477	0.3662	-0.3343	-2.3582	0.37107	0.90946	0.018363	0.050653	-0.35992	-2.6026	0.29866	0.88983	0.0092528	0.027006	-0.059261	-0.41366	0.87866	0.995	0.67913	0.7855
TNNC1	2	-0.54227	-3.541	0.12767	0.76492	0.00039865	0.0019025	-0.11189	-0.76728	0.99718	0.99936	0.44291	0.58559	-0.27883	-1.9341	0.45278	0.92983	0.053107	0.11232	0.043228	0.29007	0.5317	0.95014	0.77177	0.85224
C10orf67	3	-0.031019	-0.29189	0.73356	0.9792	0.77037	0.84791	0.0037995	0.03591	0.58642	0.95479	0.97135	0.98361	0.19712	1.915	0.19804	0.8515	0.055491	0.11619	0.13775	1.2782	0.2853	0.87056	0.20117	0.33064
DDX5	4	-0.57216	-5.633	0.10796	0.7318	1.77E-08	2.14E-07	-0.72696	-7.0543	0.038957	0.56122	1.73E-12	4.09E-11	-0.56051	-5.7017	0.095723	0.74198	1.19E-08	1.63E-07	-0.51832	-4.925	0.119	0.7677	8.43E-07	9.53E-06
HIST1H1C	2	-0.13662	-0.79949	0.90478	0.99475	0.42401	0.56453	0.050181	0.29923	0.43998	0.92629	0.76476	0.85007	0.017785	0.10822	0.63081	0.96951	0.91382	0.94429	0.07463	0.43086	0.44023	0.93219	0.66657	0.77699
NLGN4X	4	-0.13069	-1.369	0.92411	0.99569	0.17101	0.28832	-0.082731	-0.87083	0.89354	0.99024	0.38385	0.53002	-0.0023693	-0.025467	0.70006	0.97696	0.97968	0.98716	-0.030081	-0.30943	0.77592	0.9844	0.75699	0.84208
STAP2	4	0.18951	2.3753	0.16728	0.80789	0.017533	0.047467	0.20763	2.6064	0.12346	0.77153	0.0091499	0.028476	0.14062	1.7776	0.30081	0.88983	0.075464	0.14867	0.26842	3.3293	0.095907	0.72666	0.00087059	0.0040396
ZNF304	2	0.017378	0.14337	0.56793	0.95389	0.886	0.92793	-0.034532	-0.2845	0.7214	0.97163	0.77603	0.85721	-0.25441	-2.1051	0.50894	0.94162	0.035281	0.080917	-0.10957	-0.87568	0.94937	0.99877	0.38121	0.53003
PKN3	4	-0.48916	-4.6405	0.172	0.81126	3.48E-06	2.76E-05	-0.55306	-5.2262	0.10886	0.74829	1.73E-07	1.90E-06	-0.48308	-4.729	0.15071	0.81679	2.26E-06	1.92E-05	-0.33998	-3.1534	0.33105	0.89293	0.0016137	0.0068046
NOXO1	4	-0.19524	-2.5937	0.7225	0.97846	0.0094937	0.028439	-0.26959	-3.5768	0.51354	0.94222	0.00034784	0.0017527	-0.29213	-3.903	0.42421	0.9243	9.50E-05	0.0005334	-0.29143	-3.814	0.42603	0.92823	0.00013674	0.00083694
NRP2	6	-0.012586	-0.19768	0.67019	0.96958	0.8433	0.89955	0.022931	0.36087	0.52212	0.94422	0.71819	0.81601	0.083838	1.3324	0.43572	0.92811	0.18273	0.29644	0.099326	1.5464	0.37438	0.91153	0.122	0.22665
CTSZ	4	-0.31368	-3.6945	0.42446	0.93676	0.0002203	0.0011367	-0.24689	-2.925	0.57277	0.95408	0.003445	0.012607	-0.36655	-4.3859	0.28856	0.88983	1.15E-05	8.36E-05	-0.3574	-4.0843	0.30141	0.8784	4.42E-05	0.00031426
RYR1	4	0.5571	6.0114	0.0062575	0.30693	1.84E-09	2.59E-08	0.51738	5.5795	0.0070727	0.30469	2.41E-08	3.07E-07	0.2349	2.5353	0.14672	0.81551	0.011235	0.031728	0.17196	1.7653	0.22014	0.84309	0.077507	0.16031
SRPK2	5	-0.28501	-3.4918	0.48653	0.94112	0.00047982	0.0022264	-0.20498	-2.5315	0.69127	0.96866	0.011356	0.034008	-0.29696	-3.7185	0.41371	0.92346	0.00020045	0.0010227	-0.16789	-2.0165	0.75865	0.984	0.043744	0.10253
RASSF9	4	-0.15318	-1.5234	0.85189	0.99176	0.12767	0.23025	0.04863	0.49321	0.44433	0.92667	0.62187	0.74173	-0.12904	-1.3206	0.87126	0.98983	0.18662	0.30127	-0.2139	-2.0337	0.62136	0.96412	0.041985	0.099191
KLHL13	2	-0.021315	-0.19766	0.69983	0.97399	0.84331	0.89955	0.050036	0.46522	0.44036	0.92629	0.64177	0.75759	0.06825	0.63904	0.4787	0.93708	0.5228	0.6471	0.085655	0.78828	0.4102	0.92215	0.43053	0.57804
PPFIBP2	7	0.17381	2.6875	0.19052	0.83059	0.0071991	0.022579	0.16012	2.4775	0.18974	0.84511	0.013231	0.038619	0.31747	5.0043	0.072519	0.71749	5.61E-07	5.49E-06	0.15134	2.2916	0.25733	0.86013	0.021928	0.059172
PRMT3	3	-0.065263	-0.72895	0.85298	0.99176	0.46603	0.60331	-0.1313	-1.4646	0.93189	0.99413	0.14303	0.25522	-0.068737	-0.77492	0.92631	0.99448	0.43839	0.56931	-0.040279	-0.44438	0.81133	0.98892	0.65677	0.76976
KRT34	3	-0.51852	-4.3567	0.14579	0.7857	1.32E-05	9.28E-05	-0.46209	-3.9122	0.18386	0.84511	9.15E-05	0.00054445	-0.42145	-3.666	0.21483	0.86315	0.00024641	0.0012277	-0.6707	-5.3341	0.046271	0.62969	9.60E-08	1.33E-06
CYP7A1	3	-0.015207	-0.11486	0.67941	0.96974	0.90856	0.94336	-0.25677	-1.8979	0.54652	0.94885	0.057707	0.12679	-0.22383	-1.7092	0.58728	0.96205	0.087416	0.16705	-0.3024	-2.1243	0.40241	0.9202	0.033642	0.08324
KIF19	2	-0.40209	-3.2084	0.27324	0.879	0.0013345	0.0054326	-0.27625	-2.2292	0.49732	0.94126	0.025798	0.066563	-0.61903	-4.9805	0.066858	0.70633	6.34E-07	6.13E-06	-0.66022	-4.9579	0.049463	0.64637	7.13E-07	8.20E-06
CDK10	3	-0.44401	-4.2546	0.21857	0.85076	2.09E-05	0.00014068	-0.40148	-3.8698	0.25879	0.87663	0.00010893	0.00063452	-0.32979	-3.2629	0.34988	0.90426	0.0011028	0.00452	-0.29069	-2.7346	0.42749	0.92823	0.0062449	0.021139
CPT2	4	-0.27103	-2.718	0.51897	0.94421	0.0065677	0.020911	-0.26801	-2.6943	0.5177	0.94422	0.0070528	0.02301	-0.22967	-2.3658	0.57226	0.95937	0.017993	0.046492	-0.1634	-1.6032	0.773	0.984	0.10888	0.20812
FOXD2	3	-0.24532	-1.8242	0.58271	0.95702	0.068128	0.1407	-0.43495	-3.1683	0.21416	0.85516	0.0015335	0.0063151	-0.76913	-5.5767	0.026523	0.53687	2.45E-08	3.20E-07	-0.50092	-3.4043	0.13184	0.78365	0.00066323	0.0032096
PDZD4	4	0.16678	1.8686	0.20196	0.83949	0.061672	0.13023	0.079767	0.89071	0.35848	0.90172	0.37309	0.51903	0.089466	1.0149	0.42043	0.92346	0.31013	0.44248	-0.0015403	-0.016668	0.67802	0.97382	0.9867	0.99165
GPA33	5	-0.14578	-1.8035	0.87573	0.99455	0.071305	0.14577	-0.041593	-0.51924	0.7461	0.9751	0.6036	0.72581	0.058799	0.75049	0.50536	0.94127	0.45296	0.58281	-0.03883	-0.47124	0.80607	0.98789	0.63747	0.75456
TOB1	2	0.33387	2.5558	0.042873	0.57878	0.010595	0.031096	0.010891	0.081794	0.56231	0.95251	0.93481	0.96232	0.22724	1.7594	0.15615	0.81844	0.078515	0.15343	0.27317	2.0338	0.092347	0.72373	0.041974	0.099178
REEP1	6	-0.052583	-0.80022	0.8085	0.98655	0.42358	0.56418	-0.10259	-1.5597	0.9641	0.9969	0.11882	0.22208	-0.059277	-0.9128	0.89317	0.99104	0.36135	0.49651	-0.076534	-1.1433	0.93841	0.99769	0.25291	0.39254
CEBPG	2	0.091317	0.74308	0.36076	0.91043	0.45744	0.59558	-0.011151	-0.09035	0.64029	0.96334	0.92801	0.95764	0.087445	0.72268	0.42598	0.9243	0.46988	0.59895	0.13507	1.0781	0.29088	0.87222	0.281	0.4235
HS6ST1	4	-0.33723	-3.834	0.37875	0.92098	0.00012606	0.00069618	-0.39466	-4.477	0.26914	0.87663	7.57E-06	5.91E-05	-0.43205	-4.9886	0.20193	0.85497	6.08E-07	5.90E-06	-0.25075	-2.7909	0.52173	0.94746	0.005256	0.018285
AP2S1	2	-0.91118	-7.3116	0.016258	0.42332	2.64E-13	6.14E-12	-0.92411	-7.4251	0.012285	0.37153	1.13E-13	3.10E-12	-0.66377	-5.5634	0.05091	0.65704	2.65E-08	3.43E-07	-0.67567	-5.3628	0.044894	0.62162	8.19E-08	1.16E-06
KCTD6	2	-0.21885	-1.5348	0.65381	0.96786	0.12483	0.22648	-0.075017	-0.53437	0.86655	0.98949	0.59309	0.71748	-0.27428	-1.97	0.46282	0.93172	0.048843	0.10501	-0.34786	-2.306	0.3178	0.88767	0.021113	0.057545
KRTAP12-4	2	0.097465	0.68424	0.34579	0.90673	0.49382	0.62779	0.25644	1.8252	0.077777	0.69158	0.067967	0.14427	0.47478	3.4806	0.018543	0.48808	0.00050031	0.0022844	0.45219	3.1759	0.017923	0.4781	0.0014936	0.0063783
RAB8B	3	0.048553	0.40755	0.47584	0.94039	0.6836	0.78469	-0.022925	-0.19174	0.68061	0.96862	0.84794	0.90562	-0.11179	-0.95013	0.9282	0.99465	0.34204	0.47619	0.095866	0.7836	0.38325	0.91344	0.43327	0.58055
C16orf52	3	0.13343	1.3858	0.26519	0.87469	0.16581	0.28181	0.050967	0.52797	0.43753	0.92629	0.59752	0.72062	0.15784	1.662	0.26593	0.88983	0.096514	0.18104	0.028254	0.28627	0.57871	0.95755	0.77467	0.85384
ZFYVE27	9	-0.0048575	-0.089963	0.64499	0.96489	0.92832	0.95674	-0.057983	-1.0728	0.80532	0.98402	0.28338	0.4258	-0.0010927	-0.020476	0.69587	0.97619	0.98366	0.98961	-0.0069525	-0.12674	0.69625	0.97557	0.89914	0.93746
TMEM147	5	-0.27364	-3.3743	0.51266	0.94349	0.00074014	0.0032623	-0.39361	-4.8175	0.27059	0.87789	1.45E-06	1.33E-05	-0.27471	-3.4637	0.46173	0.93172	0.00053276	0.0024148	-0.17474	-2.1091	0.7377	0.98227	0.034937	0.085653
DNAH10	3	-0.61602	-5.4261	0.084012	0.69762	5.76E-08	6.40E-07	-0.39136	-3.5359	0.27383	0.87913	0.00040636	0.0020069	-0.61949	-5.6333	0.066709	0.70633	1.77E-08	2.36E-07	-0.52724	-4.4999	0.11265	0.75811	6.80E-06	6.20E-05
COQ10A	3	-0.12813	-1.3148	0.93235	0.99661	0.18859	0.31038	-0.20007	-2.0478	0.70646	0.97064	0.040583	0.095748	-0.053692	-0.56151	0.87393	0.98983	0.57445	0.69176	-0.26802	-2.6592	0.47878	0.94141	0.0078328	0.025579
CYB5D2	4	-0.16971	-1.8517	0.79972	0.98543	0.064063	0.13416	-0.086504	-0.951	0.90689	0.99192	0.3416	0.4877	-0.055405	-0.62105	0.88003	0.98983	0.53457	0.65763	-0.21832	-2.3069	0.60848	0.96244	0.021059	0.057422
RCAN1	4	-0.20338	-2.5966	0.69807	0.9737	0.0094163	0.028246	-0.3011	-3.8335	0.43862	0.92629	0.00012633	0.0007208	-0.22996	-2.9661	0.57157	0.95937	0.0030161	0.010569	-0.18086	-2.2758	0.71858	0.97875	0.022857	0.061095
GRK5	4	0.12823	1.4196	0.2763	0.879	0.15573	0.26844	0.023864	0.26293	0.51951	0.94422	0.7926	0.869	0.095539	1.0745	0.4046	0.92196	0.28262	0.41318	0.18746	2.0353	0.19393	0.83276	0.041824	0.098931
THAP3	2	0.054818	0.48583	0.45817	0.9387	0.62709	0.73966	0.047887	0.42473	0.44646	0.92724	0.67103	0.78076	0.072764	0.65211	0.46605	0.93324	0.51433	0.64044	-0.083238	-0.72083	0.96187	0.99884	0.47101	0.61554
PDE1C	8	-0.35482	-5.6415	0.3464	0.90691	1.69E-08	2.05E-07	-0.23436	-3.7627	0.60618	0.95881	0.00016807	0.00092412	-0.28764	-4.6837	0.43412	0.92794	2.82E-06	2.34E-05	-0.3645	-5.632	0.28966	0.87222	1.78E-08	2.88E-07
